,Date,Content,Rating,Version,sentiment_labels,Rating_converted,check
17,1/5/2022,im listening music open scanner phone freeze 515 second,1,6.1.0,NEGATIVE,NEGATIVE,True
18,1/5/2022,im giving 5 star aunty cindy cool remember guy spread leg,5,6.1.0,NEGATIVE,POSITIVE,False
19,1/5/2022,disamal w,1,6.1.0,POSITIVE,NEGATIVE,False
20,1/4/2022,g hgbt mm several timesyb kk nf mm mm mm rv hbye jj v p dnâo b pp l mm co pl,1,6.1.0,POSITIVE,NEGATIVE,False
21,1/3/2022,anybody bothered tell anyone google pay app meant carry nzs vaccine pas would not use tracer app instead,1,6.1.0,NEGATIVE,NEGATIVE,True
22,1/3/2022,doesnt scan code im always enter manually,2,6.1.0,NEGATIVE,NEGATIVE,True
23,1/3/2022,ð± 8th grade grade k,5,6.1.0,POSITIVE,POSITIVE,True
24,1/3/2022,safety,5,6.1.0,POSITIVE,POSITIVE,True
25,1/2/2022,bloody stupid waste time,1,6.1.0,NEGATIVE,NEGATIVE,True
26,1/2/2022,covid no joke application help see iv virus deadly luckily im vaccinated vaccine certificate four month ill get booster,5,6.1.0,NEGATIVE,POSITIVE,False
27,1/2/2022,gffxy b,2,6.1.0,POSITIVE,NEGATIVE,False
28,1/2/2022,bluetooth tracing wont work,3,6.1.0,NEGATIVE,NEUTRAL,False
29,1/1/2022,slow trke photo,3,6.1.0,NEGATIVE,NEUTRAL,False
30,1/1/2022,great tool sometimes slow react like,5,6.1.0,POSITIVE,POSITIVE,True
31,1/1/2022,edit good app need reset device backup data not lost,3,6.1.0,POSITIVE,NEUTRAL,False
32,1/1/2022,would good store vaccine pas mean kiwibank still doesnt use google pay samsung pay apple pay,5,6.1.0,POSITIVE,POSITIVE,True
33,1/1/2022,love app use time,5,6.1.0,POSITIVE,POSITIVE,True
34,12/31/2021,isnt updating g new version even though ticked auto update,2,6.1.0,NEGATIVE,NEGATIVE,True
35,12/31/2021,getting message unfortunately nz covid tracer app stopped uninstalled installed half dozen time still loging not work log,1,6.1.0,NEGATIVE,NEGATIVE,True
36,12/31/2021,much improved last year half successfully scan like ability open vaccine passport scanning,5,6.1.0,NEGATIVE,POSITIVE,False
37,12/29/2021,easy peasy,5,6.1.0,POSITIVE,POSITIVE,True
38,12/29/2021,awesome,5,6.1.0,POSITIVE,POSITIVE,True
39,12/29/2021,help keep everyone safe,5,6.1.0,POSITIVE,POSITIVE,True
40,12/28/2021,dont bother using link view vaccination pas work connected data wifi ridiculous,1,6.1.0,NEGATIVE,NEGATIVE,True
41,12/28/2021,work well enough suddenly wont work loses entry keep nothing saved uninstalled reinstalled begin working still lose record visit pretty useless,1,6.0.0,NEGATIVE,NEGATIVE,True
42,12/28/2021,wish basic app work well phone,1,6.1.0,POSITIVE,NEGATIVE,False
43,12/27/2021,disgusting app disappears screen no fix offered find email stupid system think supposed something paid government produce u cant even get simple app work properly,1,6.1.0,NEGATIVE,NEGATIVE,True
44,12/27/2021,awesome,4,6.1.0,POSITIVE,POSITIVE,True
45,12/26/2021,bad app,1,6.1.0,NEGATIVE,NEGATIVE,True
46,12/25/2021,another piece junk jacinda mate conjure cauldron oppression imo,1,6.1.0,POSITIVE,NEGATIVE,False
47,12/25/2021,cant vaccine pas downloaded straight app request one much straightforward current procedure vaccine pas app know elderly people dont know computer receive email vaccine pas please improve asap,2,6.1.0,NEGATIVE,NEGATIVE,True
48,12/25/2021,good stay safe,5,6.1.0,POSITIVE,POSITIVE,True
49,12/25/2021,course yes,5,6.1.0,NEUTRAL,POSITIVE,False
50,12/24/2021,taking long install,1,6.1.0,NEUTRAL,NEGATIVE,False
51,12/23/2021,great keep safe around city,5,6.1.0,POSITIVE,POSITIVE,True
52,12/23/2021,using samsung xcover 5using app take long time load open app android ostried rippl app immediately launch openeddefinitely issue appkindly investigate fix lagging issue opening thanks,2,6.1.0,NEGATIVE,NEGATIVE,True
53,12/23/2021,find useful,5,6.1.0,POSITIVE,POSITIVE,True
54,12/23/2021,decent app long load time im taking 2 star still good would encourage people scan came fit bit turn app scan sadly collaboration hasnt happened yet,3,6.1.0,POSITIVE,NEUTRAL,False
55,12/23/2021,cant open,1,6.1.0,NEGATIVE,NEGATIVE,True
56,12/22/2021,excellent app,5,6.1.0,POSITIVE,POSITIVE,True
57,12/22/2021,spiffy app top skill team,5,6.1.0,POSITIVE,POSITIVE,True
58,12/21/2021,not find link vaccine pas,5,6.1.0,NEGATIVE,POSITIVE,False
59,12/21/2021,android version 9 downloaded nz covid tracer app cant get scan quick release code get nz covid tracer app,3,6.1.0,NEGATIVE,NEUTRAL,False
60,12/20/2021,update reviewlinked pas google pay howreverts back downloaded version photo gallery,3,6.1.0,NEGATIVE,NEUTRAL,False
61,12/20/2021,zamn,3,6.1.0,POSITIVE,NEUTRAL,False
62,12/20/2021,allgood,5,6.1.0,POSITIVE,POSITIVE,True
63,12/20/2021,sorry really dont want delete researchingcommonly known boon hacker since ive app ive hit 1st time sorry not prepared risk device dont worry im jabbed tested booster etc im safe obey law really sorry mean ex forensic psychologist music therapist,1,6.0.0,NEGATIVE,NEGATIVE,True
64,12/19/2021,work fine take age load annoying,4,6.1.0,NEGATIVE,POSITIVE,False
65,12/19/2021,stalking lying data dealing tyrant,1,5.1.0,NEGATIVE,NEGATIVE,True
66,12/19/2021,updated version twice apparently could access vaccine pas wallet think iphone dont take forever open slow wish id never updated slows day please fix,2,6.1.0,NEGATIVE,NEGATIVE,True
67,12/19/2021,unreliable app doesnt always work often need lot positioning attemps get scan code,2,6.1.0,NEGATIVE,NEGATIVE,True
68,12/19/2021,absolute essential,5,6.0.0,POSITIVE,POSITIVE,True
69,12/19/2021,alan thomasen 32 taui street ngongotaha 3010,5,6.1.0,POSITIVE,POSITIVE,True
70,12/18/2021,okbut manual entry location need made quicker predictive address system lot apps use would helpful job visit 8 place day majority no scan residential property,1,6.1.0,NEGATIVE,NEGATIVE,True
71,12/18/2021,scanning work well ability show vaccination status need easier rather opening new windowgoing google pay cant tab bottom tracer home screen,3,6.0.0,NEGATIVE,NEUTRAL,False
72,12/18/2021,alot better launch,5,6.0.0,POSITIVE,POSITIVE,True
73,12/17/2021,terribly incompetent app like ministry behind made update tell link vaccine pas cant find anyway app cluttered clunky learn something singapore trace together app clean simple link test vaccine pass smoothly,1,6.1.0,NEGATIVE,NEGATIVE,True
74,12/17/2021,good,5,6.0.0,POSITIVE,POSITIVE,True
75,12/17/2021,keep crashing,1,6.1.0,POSITIVE,NEGATIVE,False
76,12/17/2021,put vaccination pas phone,5,6.1.0,NEGATIVE,POSITIVE,False
77,12/17/2021,ððï¸âï¸ðð·ð¯ð²ð¹ï¸,1,6.0.0,POSITIVE,NEGATIVE,False
78,12/17/2021,excellent,5,6.1.0,POSITIVE,POSITIVE,True
79,12/16/2021,useful helpful update great part team 5 million,5,6.1.0,POSITIVE,POSITIVE,True
80,12/16/2021,consentual govt surveillance,2,6.1.0,POSITIVE,NEGATIVE,False
81,12/16/2021,good,5,6.0.0,POSITIVE,POSITIVE,True
82,12/15/2021,link open google pay handy would quicker opened pas not google pay app duh,3,6.1.0,NEGATIVE,NEUTRAL,False
83,12/15/2021,easy use,5,6.0.0,POSITIVE,POSITIVE,True
84,12/15/2021,work time covid record keep falling not easy use log app time,4,6.0.0,NEGATIVE,POSITIVE,False
85,12/14/2021,awesme 2b vanccinatedtake say,1,6.0.0,POSITIVE,NEGATIVE,False
86,12/14/2021,im alittle sceptical app although intention tracking people movement purpose pandemic management mind fact advise authority movement make feel like watched new zealander pro outweigh con decided comply better big brother watching not question watch watcher,3,6.0.0,NEGATIVE,NEUTRAL,False
87,12/13/2021,dont watch enough,1,6.0.0,NEGATIVE,NEGATIVE,True
88,12/13/2021,frustratingly slow open even modern phone wonder encouraged scan poor experience,3,6.0.0,NEGATIVE,NEUTRAL,False
89,12/12/2021,chance integrating vaccine pas app instead open two different apps,5,6.0.0,NEGATIVE,POSITIVE,False
90,12/12/2021,would good able log see vacation status would even better could get pas new phone problem,5,6.0.0,POSITIVE,POSITIVE,True
91,12/11/2021,recent phone update uninstalled app lost data today disappeared ð cant add home screen,3,6.0.0,NEGATIVE,NEUTRAL,False
92,12/10/2021,need dragon ngl,2,6.0.0,NEGATIVE,NEGATIVE,True
93,12/9/2021,useless,1,6.0.0,NEGATIVE,NEGATIVE,True
94,12/9/2021,install uninstall several time week lost data app not greatest understand people finding difficult use not tech savvy,2,6.0.0,NEGATIVE,NEGATIVE,True
95,12/8/2021,even though app saved home screen take approx half minute open scan often step away poster wait whilst others walk open app almost instant scan none apps take long open not phone,4,6.0.0,NEGATIVE,POSITIVE,False
96,12/8/2021,awesome app,5,6.0.0,POSITIVE,POSITIVE,True
97,12/8/2021,soooo app doesnt load oppo phone odd,1,6.0.0,NEGATIVE,NEGATIVE,True
98,12/8/2021,cool,5,6.0.0,POSITIVE,POSITIVE,True
99,12/8/2021,í¸ã ¡ã ã ¡ã  ã ,4,6.0.0,POSITIVE,POSITIVE,True
100,12/7/2021,pretty quick day,4,6.0.0,POSITIVE,POSITIVE,True
101,12/7/2021,ever since installed app kept getting lottery scam txt message phone uninstalled wont downloading,1,6.0.0,NEGATIVE,NEGATIVE,True
102,12/7/2021,hi happy living mac bay house 46 year good,5,6.0.0,POSITIVE,POSITIVE,True
103,12/7/2021,use much battery,1,6.0.0,POSITIVE,NEGATIVE,False
104,12/7/2021,recently phone needing recharged twice daily wondering wrong day ago turned bluetooth tracing bam need charge every 2 day much bw claim saying low power,2,6.0.0,NEGATIVE,NEGATIVE,True
105,12/6/2021,shove,1,6.0.0,POSITIVE,NEGATIVE,False
106,12/6/2021,app broken camera nolonger work tryed reinstalling app no luck black screen camera work fine apps literally onley reasion use app since maunle writing part done place pen form,1,6.0.0,NEGATIVE,NEGATIVE,True
107,12/6/2021,quick scan apps quickest set 1 click,5,1.5.1,POSITIVE,POSITIVE,True
108,12/6/2021,would useful app linked covid record nz covid tracer app supposed though,3,6.0.0,POSITIVE,NEUTRAL,False
109,12/6/2021,super slow try manual entry never find location,2,6.0.0,NEGATIVE,NEGATIVE,True
110,12/5/2021,im still waiting load ð©,1,5.1.0,NEGATIVE,NEGATIVE,True
111,12/5/2021,not work phone waste time trying installing app,1,6.0.0,NEGATIVE,NEGATIVE,True
112,12/5/2021,would convenient app opened directly quotrecord visitquot qr reader screen rather requiring extra step otherwise work well,5,6.0.0,POSITIVE,POSITIVE,True
113,12/4/2021,help,5,6.0.0,POSITIVE,POSITIVE,True
114,12/4/2021,not work forget delete,1,6.0.0,NEGATIVE,NEGATIVE,True
115,12/4/2021,app not work samsung galaxy s4 mini deep disappointment mother not wish spend hundred new smartphone not working perfectly also mint condition case please address issue older lessexpensive phone requiring replacement recent cellphone incredibly highcostbarrier entry guarantee issue nature particularly impact marginalised member society especially not afford purchase new cellphone time superanuitants beneficiary others form fixed income,1,6.0.0,NEGATIVE,NEGATIVE,True
116,12/3/2021,simon 2020 nz christchurch 1nz covid19 tracer 120212022,5,6.0.0,POSITIVE,POSITIVE,True
117,12/3/2021,read nz law quotbill rightsquot,1,6.0.0,NEUTRAL,NEGATIVE,False
118,12/3/2021,easy use helpful,5,6.0.0,POSITIVE,POSITIVE,True
119,12/3/2021,phone camera cant focus easily qr code closer 1m lens developer app many user dont understand developer reduce size camera area screen people hold phone qr sign speed scanning time,3,6.0.0,NEGATIVE,NEUTRAL,False
120,12/3/2021,1 star info page continues talk alert level went traffic light,1,6.0.0,NEUTRAL,NEGATIVE,False
121,12/2/2021,app used get pas,3,6.0.0,POSITIVE,NEUTRAL,False
122,12/2/2021,window reflection use manual mode location list show faster scanning qr glare use inside code no reflection,5,6.0.0,NEGATIVE,POSITIVE,False
123,12/2/2021,30 scan not scanable,3,6.0.0,NEGATIVE,NEUTRAL,False
124,12/2/2021,app really terrible wont even download,1,6.0.0,NEGATIVE,NEGATIVE,True
125,12/2/2021,wo let install app remains pending download,1,6.0.0,NEGATIVE,NEGATIVE,True
126,12/2/2021,work well easy learn especially old people like,5,6.0.0,POSITIVE,POSITIVE,True
127,12/2/2021,joke,1,1.5.0,POSITIVE,NEGATIVE,False
128,12/1/2021,nz need,5,6.0.0,NEGATIVE,POSITIVE,False
129,12/1/2021,badly made app made qualified useless health ministry,1,6.0.0,NEGATIVE,NEGATIVE,True
130,12/1/2021,sometimes doesnt work take long get scanning page bluetooth tracking mysteriously turned cant turn back,2,6.0.0,NEGATIVE,NEGATIVE,True
131,12/1/2021,really like thought process went app reside canada ð¨ð¦ keep diary record im store leave compared possible exposure last week two come government website twitter standard app country globally,5,6.0.0,POSITIVE,POSITIVE,True
132,12/1/2021,work ok use 50mb mobile data per month,2,6.0.0,NEUTRAL,NEGATIVE,False
133,11/30/2021,important covid vaccion save life u thank,5,6.0.0,POSITIVE,POSITIVE,True
134,11/30/2021,exceptional coverage location tracing,5,6.0.0,NEUTRAL,POSITIVE,False
135,11/30/2021,idea access vaccine passport code app aswell easier scan n show passport code,5,6.0.0,POSITIVE,POSITIVE,True
136,11/30/2021,best app keep safe,5,6.0.0,POSITIVE,POSITIVE,True
137,11/30/2021,good experience app far guess feedback add vaccine pas greatð¯,5,6.0.0,POSITIVE,POSITIVE,True
138,11/30/2021,auto scan doesnt work redmi note 9 last update broken month,4,6.0.0,NEGATIVE,POSITIVE,False
139,11/30/2021,good,5,6.0.0,POSITIVE,POSITIVE,True
140,11/29/2021,slow,3,6.0.0,NEGATIVE,NEUTRAL,False
141,11/29/2021,not availble device im not going buy another phone get app,1,6.0.0,NEGATIVE,NEGATIVE,True
142,11/29/2021,good app please make vaccine passport function within app everything available app annoying go two place,4,6.0.0,POSITIVE,POSITIVE,True
143,11/29/2021,older phone eg s5 mini app could not function glare reflection glass phone twisted not help scan,4,6.0.0,NEGATIVE,POSITIVE,False
144,11/29/2021,great help keep u safe,5,6.0.0,POSITIVE,POSITIVE,True
145,11/29/2021,installed ahead moving back nz doesnt include vaccination certificate seems different app doesnt seem connected realme account nsw gov app qr check real id vaccine certificate voucher app biometric sign misguided bluetooth bar usefu id related capability seems australian government app failure,1,6.0.0,NEGATIVE,NEGATIVE,True
146,11/29/2021,scientist china altered virus responsible incompetently letting escape lab put covid b,1,6.0.0,NEGATIVE,NEGATIVE,True
147,11/28/2021,good,5,6.0.0,POSITIVE,POSITIVE,True
148,11/28/2021,great way track movement,5,6.0.0,POSITIVE,POSITIVE,True
149,11/28/2021,required fascist,1,6.0.0,POSITIVE,NEGATIVE,False
150,11/27/2021,poor,1,6.0.0,NEGATIVE,NEGATIVE,True
151,11/27/2021,take long time open,3,6.0.0,NEGATIVE,NEUTRAL,False
152,11/27/2021,good,5,6.0.0,POSITIVE,POSITIVE,True
153,11/26/2021,usually easy use,5,6.0.0,POSITIVE,POSITIVE,True
154,11/26/2021,good app bypassed go phone everytime putting icon lock screen easy adjust time entering location manually frustrating trying scan place scan poster sun not apps fault,5,6.0.0,POSITIVE,POSITIVE,True
155,11/26/2021,yea na,3,6.0.0,POSITIVE,NEUTRAL,False
156,11/25/2021,dont want activity made public ð «,4,6.0.0,NEGATIVE,POSITIVE,False
157,11/25/2021,great protect nz use everywhere go vax nation,5,6.0.0,POSITIVE,POSITIVE,True
158,11/25/2021,stopped scanning update app,1,6.0.0,NEGATIVE,NEGATIVE,True
159,11/24/2021,cant put anything record maybe server crashed something ð¡,1,6.0.0,NEGATIVE,NEGATIVE,True
160,11/24/2021,covid tracer app take six step reach not bring covid tracer quickly six step described reach,1,6.0.0,NEGATIVE,NEGATIVE,True
161,11/24/2021,app turn bluetooth without permission guy need fix kill phone turn brick,2,6.0.0,NEGATIVE,NEGATIVE,True
162,11/23/2021,absolutley love app go scan doesnt work still walk everyone belief ive scannedð,5,6.0.0,POSITIVE,POSITIVE,True
163,11/23/2021,awesome feel safe,5,6.0.0,POSITIVE,POSITIVE,True
164,11/23/2021,terrible app take long time open doesnt scan qr code manual entry yes phone scan qr code start running process phone go setting frequently force stop app getting close removing phone taking storage space could better utilised app work,1,6.0.0,NEGATIVE,NEGATIVE,True
165,11/23/2021,hi would please consider adding vaccine pas app not carry around vaccination card flimsy piece printer paper many thanks,1,6.0.0,NEGATIVE,NEGATIVE,True
166,11/23/2021,xxxxddrdee,5,6.0.0,POSITIVE,POSITIVE,True
167,11/23/2021,farkn sheeple 2017 saw 871 nzers die influenza 2015 saw 900 huge push get u vaccinated something apparently killed 40 people one shot dead govt put covid death situation stink lie corruption freedom people research mrna affected sound wave havana syndrome reported u soldier recieved vaccine 1918 died spanish flu,1,3.0.2,NEGATIVE,NEGATIVE,True
168,11/23/2021,slow sometimes restarted scan,3,6.0.0,NEGATIVE,NEUTRAL,False
169,11/23/2021,app scan qr near instantly wish would intergrated vaccine pas app,4,6.0.0,NEGATIVE,POSITIVE,False
170,11/23/2021,would good could link covid vaccination pas test youv app every thing need one place,5,6.0.0,POSITIVE,POSITIVE,True
171,11/22/2021,good,5,6.0.0,POSITIVE,POSITIVE,True
172,11/22/2021,dog shite app,1,6.0.0,POSITIVE,NEGATIVE,False
173,11/22/2021,thought free use not us mobile data wifi scan qrs wont work dont mobile data credit,1,6.0.0,NEGATIVE,NEGATIVE,True
174,11/22/2021,terrible stop phone able connect car bluetooth get error message phone trying turn phone bluetooth auto start background without permission,1,6.0.0,NEGATIVE,NEGATIVE,True
175,11/22/2021,simple straight purpose,5,6.0.0,NEUTRAL,POSITIVE,False
176,11/22/2021,honestly ive given app tried hard fill covid vaccine information kept saying invalid email wont allow use app update info,1,6.0.0,NEGATIVE,NEGATIVE,True
177,11/22/2021,ðð¦,3,6.0.0,POSITIVE,NEUTRAL,False
178,11/21/2021,great app work perfect,5,6.0.0,POSITIVE,POSITIVE,True
179,11/21/2021,work fine usually inside table best window outside still hit miss,3,6.0.0,POSITIVE,NEUTRAL,False
180,11/21/2021,excellent app youve got back pen paper dinosaur cant figure said caring way obviously,5,6.0.0,NEGATIVE,POSITIVE,False
181,11/21/2021,easy use,5,6.0.0,POSITIVE,POSITIVE,True
182,11/21/2021,good,5,6.0.0,POSITIVE,POSITIVE,True
183,11/20/2021,nz labour government jacinda ardern imprisoning 15 million aucklanders since 170821 majority vaccinated following rule using app brutally violating human right,1,6.0.0,POSITIVE,NEGATIVE,False
184,11/20/2021,good,4,3.0.2,POSITIVE,POSITIVE,True
185,11/19/2021,excellent,5,6.0.0,POSITIVE,POSITIVE,True
186,11/19/2021,kakadownload pa lang pinaparate nyo na ano kaya yun,5,6.0.0,POSITIVE,POSITIVE,True
187,11/18/2021,fine job meant would chance future enhancement might include quotupload filequot feature allow save vaccine pas app rather scanning find vaccine pas elsewhere speed thing start moving summer month,4,6.0.0,POSITIVE,POSITIVE,True
188,11/18/2021,good know protected no matter going threw,5,6.0.0,POSITIVE,POSITIVE,True
189,11/18/2021,add vaccine pas please,4,6.0.0,NEGATIVE,POSITIVE,False
190,11/18/2021,tracer app old phone wouldnt dont want covid place interest let know thanks tracer app great job ever thought please guy get vaccine keep child safe,5,6.0.0,POSITIVE,POSITIVE,True
191,11/18/2021,bundy gronks,1,6.0.0,POSITIVE,NEGATIVE,False
192,11/17/2021,best app great tracking virus,5,6.0.0,POSITIVE,POSITIVE,True
193,11/17/2021,hope get covid thnx,5,6.0.0,POSITIVE,POSITIVE,True
194,11/17/2021,hi moh going way upload vaccination pas app ease use,4,6.0.0,POSITIVE,POSITIVE,True
195,11/17/2021,reliable,5,6.0.0,POSITIVE,POSITIVE,True
196,11/17/2021,good,5,6.0.0,POSITIVE,POSITIVE,True
197,11/17/2021,level 2 level 1,5,6.0.0,POSITIVE,POSITIVE,True
198,11/16/2021,stage think itll easier get negative covid test leaving waikato downloading covid vaccine proof constantly showing error stalling processing request dont think ministry health prepared well traffic,2,6.0.0,NEGATIVE,NEGATIVE,True
199,11/16/2021,get vaccine passbook,5,6.0.0,NEGATIVE,POSITIVE,False
200,11/16/2021,updated 4 star latest version work well,4,6.0.0,POSITIVE,POSITIVE,True
201,11/16/2021,could better ui vaccination status serf purpose well,4,6.0.0,POSITIVE,POSITIVE,True
202,11/16/2021,doesnt work well vivo phone,1,6.0.0,POSITIVE,NEGATIVE,False
203,11/16/2021,great app help keep new zealand safe,5,6.0.0,POSITIVE,POSITIVE,True
204,11/16/2021,place doesnt work waste time,4,6.0.0,NEGATIVE,POSITIVE,False
205,11/16/2021,would rated higher could use phone job tablet galaxy j2 not good enough app therefore developer excluded bunch people like not able get phone good enough app 1 star,1,4.1.0,POSITIVE,NEGATIVE,False
206,11/16/2021,anyone know phone no longer connects car since downloaded app,3,6.0.0,NEGATIVE,NEUTRAL,False
207,11/15/2021,ok scanning business terrible trying log using email,1,6.0.0,NEUTRAL,NEGATIVE,False
208,11/15/2021,useless app cant add manually,1,6.0.0,NEGATIVE,NEGATIVE,True
209,11/14/2021,fantastic app covid time,5,6.0.0,POSITIVE,POSITIVE,True
210,11/14/2021,spiffy appb top skill team,5,6.0.0,POSITIVE,POSITIVE,True
211,11/12/2021,slow,1,6.0.0,NEGATIVE,NEGATIVE,True
212,11/12/2021,covid app disappeared tapping open,1,6.0.0,NEGATIVE,NEGATIVE,True
213,11/12/2021,good one,5,6.0.0,POSITIVE,POSITIVE,True
214,11/12/2021,vaccination linked recorded well please,5,6.0.0,NEGATIVE,POSITIVE,False
215,11/11/2021,good use,5,6.0.0,POSITIVE,POSITIVE,True
216,11/11/2021,much better,4,6.0.0,POSITIVE,POSITIVE,True
217,11/11/2021,nz covld 19,5,6.0.0,POSITIVE,POSITIVE,True
218,11/11/2021,great way keep trace,5,6.0.0,POSITIVE,POSITIVE,True
219,11/8/2021,obvious review lot people dont know tech work there glare qr code sun scanner wont able pick properly app isnt slow phone app open really fast,5,6.0.0,NEGATIVE,POSITIVE,False
220,11/7/2021,kiaora absolutely loving application far awesome amazing set track contain evil ð¤®covid19virusð¤®im getting quite pro signing place visit daily even putting addy manically thee day im homeomgudnessi liking enjoying heapsthe best thee mostis ya dont need wifi datawell creditwhatsoeverquotyes thats rightits totally totally totally ððððfreeððð chargesthanks heap,5,6.0.0,POSITIVE,POSITIVE,True
221,11/7/2021,help people,5,6.0.0,POSITIVE,POSITIVE,True
222,11/7/2021,yes deaf,1,6.0.0,NEUTRAL,NEGATIVE,False
223,11/7/2021,good,5,6.0.0,POSITIVE,POSITIVE,True
224,11/6/2021,waste time hinderance notification dammed time,1,6.0.0,NEGATIVE,NEGATIVE,True
225,11/6/2021,covid tracer app great scanning qr code,5,6.0.0,POSITIVE,POSITIVE,True
226,11/5/2021,app lagging not open scan frustrating,2,6.0.0,NEGATIVE,NEGATIVE,True
227,11/5/2021,handy app,5,6.0.0,POSITIVE,POSITIVE,True
228,11/5/2021,app really annoying filling day missed take age no multiple option place go multiple time day multiple day week,1,6.0.0,NEGATIVE,NEGATIVE,True
229,11/4/2021,need dark theme added,5,6.0.0,NEGATIVE,POSITIVE,False
230,11/3/2021,data hungry,1,6.0.0,NEGATIVE,NEGATIVE,True
231,11/2/2021,excellent app still odd fluff laminated plastic cover getting cant use bluetooth run battery,5,3.0.0,NEGATIVE,POSITIVE,False
232,11/1/2021,waste time covids man made let happen disappear like every pandemic every 100 year,1,6.0.0,NEGATIVE,NEGATIVE,True
233,11/1/2021,good,5,6.0.0,POSITIVE,POSITIVE,True
234,10/31/2021,hey app good use time bit wanted throw idea would make much user friendly big complaint people im sure know may bit awkward allow phone privacy permission would really great could make somehow used lock screen background would great able scan place pressing power button scan work lock screen able simply turn ty,4,6.0.0,POSITIVE,POSITIVE,True
235,10/30/2021,doesnt tell go catch covid,1,6.0.0,NEGATIVE,NEGATIVE,True
236,10/30/2021,would really like able change time event especially adding something manually frustrating hour make big difference whether time others normally qr code doesnt work one like friend place also one also think exit time venue tend put note no way going remember clearly asked contract tracer long exactly venue,4,6.0.0,NEGATIVE,POSITIVE,False
237,10/30/2021,app playing sudden always turn sideways no matter side hold uninstalled found another review using different app rippl open fast scan fast,1,6.0.0,POSITIVE,NEGATIVE,False
238,10/30/2021,no problem app given together second people precious life matter pause scan,5,6.0.0,NEGATIVE,POSITIVE,False
239,10/30/2021,latest version work great,5,6.0.0,POSITIVE,POSITIVE,True
240,10/30/2021,mikkie level 2,1,6.0.0,POSITIVE,NEGATIVE,False
241,10/29/2021,work fine everyone else complaining need get phone cost 5 learn use mobile,5,6.0.0,POSITIVE,POSITIVE,True
242,10/29/2021,thank excellent app wanted make small suggestion please way incorporate proof vaccination would great addition app hope consider thanks,5,6.0.0,POSITIVE,POSITIVE,True
243,10/29/2021,feel good use,4,6.0.0,POSITIVE,POSITIVE,True
244,10/29/2021,always scan everyday night co keep updated wea stuff,5,6.0.0,POSITIVE,POSITIVE,True
245,10/29/2021,lost nz covid tracer app got deleted phone download,3,6.0.0,NEGATIVE,NEUTRAL,False
246,10/28/2021,excellent,5,6.0.0,POSITIVE,POSITIVE,True
247,10/28/2021,running slow reloaded app running way faster lost diary record,2,6.0.0,NEGATIVE,NEGATIVE,True
248,10/27/2021,m345,2,6.0.0,POSITIVE,NEGATIVE,False
249,10/27/2021,basic,2,3.0.1,POSITIVE,NEGATIVE,False
250,10/27/2021,dont get point close contact app never told hunt see not sill click day find,1,6.0.0,NEGATIVE,NEGATIVE,True
251,10/26/2021,good maintaining every day activity tracking keep u safe within public ðï¸ taking note day,5,3.0.0,POSITIVE,POSITIVE,True
252,10/26/2021,fully vaccinated sake little family intend keeping baby alive long go use app first time,1,6.0.0,POSITIVE,NEGATIVE,False
253,10/26/2021,slow open allkeeps saying bluetooth shop say dont,3,4.1.0,NEGATIVE,NEUTRAL,False
254,10/25/2021,love using app habit using found take 5 10 second open app take 5 second camera turn also glitch annoying waste time nothing wrong phone phone storage not full updated app software date,5,6.0.0,NEGATIVE,POSITIVE,False
